customer_id,age,annual_income,spending_score,visits_last_month,avg_session_time,purchased
1,56,115671.65928086358,30,1,27.41534185939437,1
2,46,4718.970990323556,71,9,11.538489213762496,0
3,32,206193.58824946004,70,2,15.406546072684861,1
4,60,234236.09046517173,55,11,15.66314217683925,1
5,25,38224.0538674897,67,8,27.57548113496827,1
6,38,119416.15771740374,13,6,16.435514857770276,0
7,56,217149.25566031184,3,6,24.140052549422506,1
8,36,303449.728182702,26,7,16.032865204063434,1
9,40,181247.62246052446,57,6,26.452702293458245,1
10,28,136319.82352625194,24,7,27.048154249711537,1
11,28,56342.0711779032,53,9,15.009701639910888,1
12,41,87497.5283829637,70,3,9.48567384945985,0
13,53,47080.71641750929,43,7,10.008366088005602,1
14,57,44016.15986699493,60,6,9.582641577420471,1
15,41,50345.12955635935,58,6,10.07914344660413,1
16,20,40933.42783482575,49,6,8.723171983795492,0
17,39,62453.40631989591,42,5,13.171171504870575,1
18,19,92493.56916939121,76,7,7.717951940556286,1
19,41,66461.58546232058,66,5,9.566264902166076,0
20,61,54952.92995747425,11,9,10.577779513179795,0
21,47,54163.77462168912,98,6,11.471331287206237,1
22,55,28736.18382606686,90,5,6.427549859850999,0
23,19,77662.19554294318,18,3,9.262370852332968,0
24,38,58443.25605974396,85,10,10.066253971442306,1
25,50,56390.401728187484,52,3,12.406817420467714,0
26,29,123862.15135689722,46,4,9.359237126285157,1
27,39,65975.05816731372,44,4,9.693530571105882,0
28,61,44964.178998096315,22,5,10.412319147138795,0
29,42,51472.84807588914,53,8,13.14761663145245,1
30,44,82968.91418393509,59,2,3.8452947194022986,1
31,59,62265.40821075529,94,12,10.318149026655796,1
32,45,31234.440433652668,30,4,13.50804618614849,0
33,33,78384.57869150407,8,2,7.51844142663663,0
34,32,46637.11828922012,98,3,7.741417776584938,0
35,64,97465.95552435091,57,1,13.672667234721942,0
36,61,81600.96131429297,73,8,8.952729407488487,1
37,20,51053.562086824975,20,8,9.041074954051414,1
38,54,85620.32723470226,25,6,10.831557992144242,0
39,24,61357.11021054807,19,3,1.0482017756897086,0
40,38,77055.4735024444,5,5,4.544745149192958,0
41,26,69694.6563458895,75,5,11.738517945827098,0
42,56,43072.86690018253,79,5,9.265394848198396,1
43,35,47129.00335365076,72,3,9.519099950357942,0
44,21,80599.21635162322,83,9,8.02799345289619,1
45,42,53304.493357869185,87,6,9.175014563669258,0
46,31,51927.030735160064,27,7,13.576097795602868,0
47,26,40897.54841301294,40,5,10.395896669805715,0
48,43,68471.98131186923,96,4,13.178550971117998,1
49,19,101250.4983848629,26,4,9.536839151750087,0
50,37,38649.34171491454,27,3,10.057958133177124,0
51,45,60484.38913345516,62,11,10.976602617645577,0
52,64,88244.41110830859,83,4,11.579677653751888,1
53,24,58407.172175085696,50,6,7.457778077338458,0
54,61,69047.43592499467,42,8,9.922573334144106,0
55,25,38752.12943706241,29,4,7.97394732106273,0
56,64,68566.14194415297,39,10,14.527046130472097,0
57,52,56257.11469990903,60,4,4.827331428685195,0
58,31,79714.59991359725,41,6,11.758241470939545,1
59,34,83747.72103129502,33,6,7.679860141171097,0
60,53,111791.27284037229,83,5,6.595197697913336,0
61,57,71592.6634642715,83,4,9.093309889594206,1
62,21,66515.92633164334,97,7,13.870911808178999,1
63,19,63887.68603154672,16,3,8.073138354536026,0
64,23,52936.67414378624,23,6,4.587275057085409,0
65,59,66769.67686923382,7,5,7.166934576300088,0
66,21,54091.97179721941,26,2,10.371087085268833,0
67,46,63369.219525392284,96,5,5.149940780765516,0
68,35,86351.95071215919,12,1,12.16368457602302,0
69,43,39869.14869440718,72,3,5.256414426160063,0
70,61,82797.57122258091,5,6,8.55341956679241,0
71,51,86342.3013467973,92,6,12.456961825789001,1
72,27,57638.629460178425,69,12,8.493333701275407,1
73,53,17562.902019828107,49,3,5.970471502378184,0
74,31,47843.56025811135,26,4,9.727519869367272,0
75,48,85939.89093122218,5,3,8.52007289462773,0
76,32,59542.63875402236,22,4,13.635357193455256,0
77,25,40013.95535410178,79,0,12.465939244242382,0
78,31,49904.50157543565,13,7,,0
79,40,76812.40053009106,28,7,10.06466425648056,0
80,57,70934.67136402758,33,3,9.343524320957265,0
81,38,55221.358016606115,23,4,9.327805291622573,0
82,33,52663.51176370625,97,6,4.871030504207605,1
83,62,52164.83701912356,18,4,10.008840665697825,0
84,35,41551.79631002995,30,3,7.622485387584847,0
85,64,92307.51378938883,26,4,9.743142607233636,0
86,41,53553.5906157732,16,7,10.156485017537783,0
87,43,84343.17041650994,77,5,8.543207407383367,1
88,42,90426.32103844902,39,4,12.79929436211367,0
89,62,79966.2179629592,33,11,6.775155778433263,1
90,58,51367.59374563903,26,2,8.518083370799843,0
91,46,68074.60180673219,48,4,,0
92,32,59516.08787218168,65,5,13.466388478558173,0
93,62,41925.96278539744,38,4,10.093185242379018,0
94,18,66487.18563443205,2,4,9.947847560413837,0
95,42,36419.20417680395,6,1,12.611539190666424,0
96,24,83753.58776923128,46,2,8.433819693854623,0
97,26,50707.65405403214,50,9,12.625481100396904,0
